,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
44,Bchen2017,Thu Mar 15 14:35:32 +0000 2018,974293022337847296,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
45,Bchen2017,Thu Mar 15 02:19:49 +0000 2018,974107873616818176,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
46,Bchen2017,Thu Mar 15 02:18:49 +0000 2018,974107620817678336,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
47,Bchen2017,Thu Mar 15 02:17:49 +0000 2018,974107368047988736,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
48,Bchen2017,Thu Mar 15 02:16:48 +0000 2018,974107115282468864,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
49,Bchen2017,Thu Mar 15 02:15:48 +0000 2018,974106862395281409,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
50,Bchen2017,Wed Mar 14 13:52:43 +0000 2018,973919858017566726,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
51,Bchen2017,Wed Mar 14 13:51:43 +0000 2018,973919605205995523,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
52,Bchen2017,Wed Mar 14 13:50:42 +0000 2018,973919352310333441,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
53,Bchen2017,Wed Mar 14 13:49:42 +0000 2018,973919099297333248,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
54,Bchen2017,Wed Mar 14 13:48:42 +0000 2018,973918846049505281,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
55,Bchen2017,Wed Mar 14 01:26:09 +0000 2018,973731978037121024,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
56,Bchen2017,Wed Mar 14 01:25:09 +0000 2018,973731725242257408,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
57,Bchen2017,Wed Mar 14 01:24:08 +0000 2018,973731472317272065,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
58,Bchen2017,Wed Mar 14 01:23:08 +0000 2018,973731219627233280,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
59,Bchen2017,Wed Mar 14 01:22:08 +0000 2018,973730966979141632,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
60,Bchen2017,Tue Mar 13 21:08:03 +0000 2018,973667025171222531,@BzzOrange Analyze: @CNN,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
